zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Marine Park/Mill Basin,Brooklyn,358,4.52,20.6,25.42,13.53,Residential,8
Marine Park/Floyd Bennett Field,Brooklyn,20,4.56,16.03,27.77,7.73,Residential,8
Long Island City/Hunters Point,Queens,1639,4.57,20.08,24.75,8.67,Residential,8
Sunset Park West,Brooklyn,906,4.59,20.03,24.96,8.6,Residential,8
Port Richmond,Staten Island,101,4.6,22.2,24.5,6.54,Residential,8
Coney Island,Brooklyn,401,4.6,19.13,26.93,7.26,Residential,8
West Brighton,Staten Island,167,4.61,20.71,23.35,6.23,Residential,8
Flatbush/Ditmas Park,Brooklyn,1083,4.63,19.21,25.72,8.22,Residential,8
College Point,Queens,220,4.69,19.54,26.51,6.76,Residential,8
Bloomingdale,Manhattan,307,4.77,21.21,25.54,6.44,Residential,8
Williamsburg (South Side),Brooklyn,1507,4.78,18.66,27.42,7.03,Residential,8
Washington Heights South,Manhattan,1079,4.81,19.71,26.3,6.54,Residential,8
Crotona Park,Bronx,13,4.97,21.25,24.7,6.03,Residential,8
Country Club,Bronx,56,5.08,21.17,26.77,6.04,Residential,8
Riverdale/North Riverdale/Fieldston,Bronx,399,5.11,20.13,28.8,6.52,Residential,8
East Village,Manhattan,2611,5.26,19.94,27.85,10.61,Residential,8
Lower East Side,Manhattan,1914,5.36,19.47,29.45,8.38,Residential,8
Roosevelt Island,Manhattan,175,5.54,18.23,31.89,7.0,Residential,8
Upper West Side North,Manhattan,1192,5.6,20.93,29.41,6.14,Residential,8
Lincoln Square West,Manhattan,1039,5.6,20.0,29.8,6.31,Residential,8
Morningside Heights,Manhattan,908,5.62,22.0,28.76,11.45,Residential,8
Red Hook,Brooklyn,448,5.65,18.65,32.81,44.45,Residential,8
UN/Turtle Bay South,Manhattan,1292,5.89,20.87,29.89,6.07,Residential,8
Flatiron,Manhattan,1498,6.05,21.19,30.84,5.96,Residential,8
Upper East Side South,Manhattan,1892,6.17,20.93,32.54,8.5,Residential,8
Murray Hill,Manhattan,2210,6.35,20.35,32.96,7.66,Residential,8
TriBeCa/Civic Center,Manhattan,2265,6.82,20.05,36.05,6.19,Residential,8
West Concourse,Bronx,492,6.82,20.91,36.31,10.48,Residential,8
Midtown East,Manhattan,2186,7.01,20.17,37.14,6.02,Residential,8
World Trade Center,Manhattan,1071,7.38,20.21,38.89,6.19,Residential,8
Willets Point,Queens,21,9.29,22.01,46.93,5.71,Residential,8
Outside of NYC,N/A,7,9.46,23.87,30.54,5.36,Residential,8
Flushing Meadows-Corona Park,Queens,521,10.92,18.38,60.52,6.48,Residential,8
LaGuardia Airport,Queens,7351,11.4,19.46,60.54,7.84,Airport,8
Borough Park,Brooklyn,465,3.33,18.66,19.41,7.65,Residential,8
Stapleton,Staten Island,204,3.41,21.4,18.51,6.58,Residential,8
Gravesend,Brooklyn,194,3.54,19.97,20.4,7.37,Residential,8
West Farms/Bronx River,Bronx,147,3.57,19.9,20.43,7.26,Residential,8
Parkchester,Bronx,209,3.67,19.36,21.35,7.21,Residential,8
Fordham South,Bronx,117,3.68,19.07,20.6,7.5,Residential,8
Brighton Beach,Brooklyn,297,3.79,19.87,21.96,7.09,Residential,8
Starrett City,Brooklyn,93,3.86,18.03,23.45,7.77,Residential,8
Canarsie,Brooklyn,519,3.87,19.49,23.13,9.17,Residential,8
Williamsbridge/Olinville,Bronx,290,3.87,20.67,21.23,7.3,Residential,8
Mount Hope,Bronx,254,3.89,22.31,19.47,10.29,Residential,8
Forest Park/Highland Park,Queens,29,3.89,18.82,22.65,6.82,Residential,8
Midwood,Brooklyn,394,3.9,18.44,23.83,31.35,Residential,8
Cypress Hills,Brooklyn,227,3.92,20.17,22.34,15.57,Residential,8
Bedford Park,Bronx,280,3.94,21.18,20.45,35.08,Residential,8
East Concourse/Concourse Village,Bronx,311,3.98,20.31,21.42,6.62,Residential,8
Saint George/New Brighton,Staten Island,311,4.0,21.66,20.61,6.63,Residential,8
Hillcrest/Pomonok,Queens,276,4.02,18.97,23.42,31.78,Residential,8
Rosedale,Queens,164,4.04,23.08,21.02,6.52,Residential,8
East Flatbush/Farragut,Brooklyn,357,4.05,20.79,22.0,13.18,Residential,8
Astoria Park,Queens,7,4.14,17.22,32.89,8.28,Residential,8
Sheepshead Bay,Brooklyn,468,4.19,20.77,23.07,6.72,Residential,8
Woodhaven,Queens,291,4.2,19.47,24.98,26.6,Residential,8
Jamaica,Queens,822,4.22,20.64,23.67,9.21,Residential,8
Jamaica Estates,Queens,184,4.22,20.13,24.59,7.07,Residential,8
Kew Gardens,Queens,475,4.24,20.14,23.07,10.3,Residential,8
Flushing,Queens,1036,4.37,20.01,24.54,16.77,Residential,8
Steinway,Queens,1028,4.41,21.59,22.82,7.26,Residential,8
Marble Hill,Manhattan,94,4.47,21.46,23.45,6.19,Residential,8
Fort Greene,Brooklyn,1249,4.5,19.67,24.59,6.59,Residential,8
Great Kills,Staten Island,163,4.51,21.39,24.27,6.46,Residential,8
Oakwood,Staten Island,89,4.54,22.28,23.02,6.14,Residential,8
Central Harlem North,Manhattan,1140,4.54,20.75,23.91,9.46,Residential,8
South Beach/Dongan Hills,Staten Island,168,4.54,20.3,24.24,6.68,Residential,8
Heartland Village/Todt Hill,Staten Island,202,4.6,19.32,25.78,6.54,Residential,8
Greenpoint,Brooklyn,2128,4.61,20.28,24.45,6.41,Residential,8
Hammels/Arverne,Queens,192,4.65,22.65,26.93,6.9,Residential,8
Cobble Hill,Brooklyn,368,4.66,19.74,25.93,6.35,Residential,8
Bay Ridge,Brooklyn,1222,4.66,22.56,23.06,7.58,Residential,8
Bayside,Queens,414,4.68,20.3,26.26,6.65,Residential,8
Long Island City/Queens Plaza,Queens,509,4.7,20.42,24.77,6.26,Residential,8
Bellerose,Queens,135,4.73,19.07,27.8,7.12,Residential,8
Oakland Gardens,Queens,161,4.73,19.37,26.92,6.95,Residential,8
Co-Op City,Bronx,391,4.78,20.37,25.67,10.4,Residential,8
Belmont,Bronx,251,4.84,21.23,25.01,18.11,Residential,8
Prospect Heights,Brooklyn,824,4.87,19.4,26.82,6.55,Residential,8
Columbia Street,Brooklyn,138,4.88,21.05,25.31,5.63,Residential,8
Kips Bay,Manhattan,1040,4.91,20.58,25.33,8.52,Residential,8
Whitestone,Queens,255,4.91,21.64,25.69,6.12,Residential,8
Inwood,Manhattan,356,4.96,21.75,25.53,6.37,Residential,8
Douglaston,Queens,141,4.98,20.6,26.99,6.63,Residential,8
DUMBO/Vinegar Hill,Brooklyn,761,5.11,17.87,30.37,6.9,Residential,8
Carroll Gardens,Brooklyn,564,5.15,20.81,26.9,6.07,Residential,8
Brooklyn Navy Yard,Brooklyn,168,5.17,20.07,26.62,6.38,Residential,8
Glen Oaks,Queens,173,5.2,18.41,30.08,7.19,Residential,8
Downtown Brooklyn/MetroTech,Brooklyn,1157,5.28,19.16,29.59,6.57,Business,8
East Harlem South,Manhattan,1105,5.37,21.2,28.17,6.15,Residential,8
Clinton West,Manhattan,1291,5.67,21.24,29.55,6.22,Residential,8
Lenox Hill East,Manhattan,1374,5.78,20.74,30.0,6.15,Residential,8
West Chelsea/Hudson Yards,Manhattan,2454,6.24,20.22,32.44,6.88,Residential,8
Hudson Sq,Manhattan,783,6.58,20.38,34.98,12.0,Residential,8
Battery Park,Manhattan,39,6.86,20.08,37.08,6.07,Residential,8
Times Sq/Theatre District,Manhattan,3749,7.73,20.79,40.37,7.33,Tourist,8
Randalls Island,Manhattan,36,8.85,24.5,37.69,4.89,Residential,8
Fordham South,Bronx,82,2.96,18.67,17.18,7.98,Residential,9
Borough Park,Brooklyn,579,3.22,16.27,21.77,8.91,Residential,9
Williamsbridge/Olinville,Bronx,286,3.41,18.14,21.03,7.8,Residential,9
Sheepshead Bay,Brooklyn,472,3.55,21.07,20.11,8.3,Residential,9
Bedford Park,Bronx,280,3.7,20.19,19.74,6.95,Residential,9
Canarsie,Brooklyn,474,3.72,20.38,21.57,8.69,Residential,9
Kew Gardens,Queens,447,3.78,18.95,22.13,17.19,Residential,9
Co-Op City,Bronx,356,3.79,19.07,21.63,7.03,Residential,9
Gravesend,Brooklyn,206,3.84,18.64,22.76,9.4,Residential,9
Saint George/New Brighton,Staten Island,318,3.86,20.71,20.38,6.65,Residential,9
Marble Hill,Manhattan,71,3.88,22.76,20.28,6.58,Residential,9
Stapleton,Staten Island,214,3.98,20.14,21.28,23.58,Residential,9
Midwood,Brooklyn,427,3.98,20.5,22.16,7.48,Residential,9
Starrett City,Brooklyn,79,4.06,16.43,27.06,8.26,Residential,9
Mount Hope,Bronx,233,4.09,22.36,20.39,6.76,Residential,9
West Farms/Bronx River,Bronx,146,4.11,19.46,23.06,8.77,Residential,9
Cypress Hills,Brooklyn,225,4.12,20.56,22.22,6.49,Residential,9
Woodhaven,Queens,306,4.13,19.62,23.68,29.3,Residential,9
Hillcrest/Pomonok,Queens,320,4.15,18.33,24.58,10.06,Residential,9
East Flatbush/Farragut,Brooklyn,331,4.15,19.8,23.12,14.29,Residential,9
Rosedale,Queens,159,4.19,22.27,22.16,6.63,Residential,9
East Concourse/Concourse Village,Bronx,306,4.2,19.9,23.17,6.85,Residential,9
Douglaston,Queens,159,4.22,20.25,24.46,35.16,Residential,9
Jamaica,Queens,832,4.23,19.61,23.66,6.8,Residential,9
Brighton Beach,Brooklyn,308,4.28,19.43,24.04,6.73,Residential,9
Parkchester,Bronx,247,4.3,19.75,23.91,6.94,Residential,9
Oakland Gardens,Queens,178,4.37,19.24,25.77,6.73,Residential,9
South Beach/Dongan Hills,Staten Island,155,4.49,19.86,25.92,6.96,Residential,9
Astoria Park,Queens,10,4.55,21.56,23.19,5.86,Residential,9
Central Harlem North,Manhattan,1077,4.55,20.71,24.27,8.16,Residential,9
Forest Park/Highland Park,Queens,23,4.58,22.33,23.39,6.07,Residential,9
Steinway,Queens,914,4.59,21.1,23.81,11.02,Residential,9
Bayside,Queens,446,4.59,20.41,24.77,6.55,Residential,9
Bay Ridge,Brooklyn,1157,4.6,22.84,23.3,6.09,Residential,9
Flushing,Queens,973,4.63,20.26,25.36,9.47,Residential,9
Hammels/Arverne,Queens,162,4.65,21.57,24.62,6.43,Residential,9
Long Island City/Queens Plaza,Queens,542,4.74,19.8,25.22,7.17,Residential,9
Inwood,Manhattan,414,4.74,20.45,24.51,6.5,Residential,9
Whitestone,Queens,233,4.77,21.27,25.94,6.61,Residential,9
Bellerose,Queens,148,4.78,23.43,24.7,8.18,Residential,9
Greenpoint,Brooklyn,1981,4.8,19.11,25.83,6.71,Residential,9
Glen Oaks,Queens,169,4.81,17.41,29.62,7.57,Residential,9
Columbia Street,Brooklyn,167,4.81,18.29,27.47,7.02,Residential,9
Jamaica Estates,Queens,219,4.83,20.44,26.61,6.69,Residential,9
Belmont,Bronx,322,4.93,19.81,27.36,10.38,Residential,9
Fort Greene,Brooklyn,1340,4.98,19.36,27.33,9.45,Residential,9
Cobble Hill,Brooklyn,387,5.08,18.85,27.82,6.76,Residential,9
East Harlem South,Manhattan,1021,5.11,20.58,27.15,6.47,Residential,9
Oakwood,Staten Island,85,5.14,19.42,28.58,6.94,Residential,9
Carroll Gardens,Brooklyn,617,5.16,20.34,27.57,6.54,Residential,9
Prospect Heights,Brooklyn,866,5.21,19.37,28.67,6.82,Residential,9
Brooklyn Navy Yard,Brooklyn,232,5.24,18.37,30.57,6.73,Residential,9
Kips Bay,Manhattan,942,5.38,19.93,28.39,6.25,Residential,9
Heartland Village/Todt Hill,Staten Island,215,5.45,23.43,26.66,6.01,Residential,9
Downtown Brooklyn/MetroTech,Brooklyn,1142,5.47,18.89,30.68,10.32,Business,9
Great Kills,Staten Island,178,5.53,22.51,28.29,6.17,Residential,9
DUMBO/Vinegar Hill,Brooklyn,779,5.68,17.31,33.74,10.03,Residential,9
Lenox Hill East,Manhattan,1330,6.0,20.56,31.58,6.19,Residential,9
Clinton West,Manhattan,1277,6.13,20.82,32.09,9.91,Residential,9
West Chelsea/Hudson Yards,Manhattan,2625,6.86,19.57,36.66,6.56,Residential,9
Battery Park,Manhattan,28,6.92,19.52,40.2,6.35,Residential,9
Hudson Sq,Manhattan,986,7.0,19.63,37.41,7.25,Residential,9
Times Sq/Theatre District,Manhattan,3851,8.59,19.97,45.34,6.75,Tourist,9
Randalls Island,Manhattan,75,9.39,23.28,44.03,5.36,Residential,9
Pelham Bay Park,Bronx,32,3.56,26.0,15.47,5.58,Residential,3
Hollis,Queens,97,3.57,21.2,19.2,6.16,Residential,3
Elmhurst/Maspeth,Queens,329,3.6,21.41,18.76,6.63,Residential,3
Westchester Village/Unionport,Bronx,192,3.65,19.37,20.76,9.26,Residential,3
Madison,Brooklyn,402,3.7,20.14,21.15,7.13,Residential,3
Soundview/Bruckner,Bronx,168,3.7,21.81,18.97,6.38,Residential,3
Grymes Hill/Clifton,Staten Island,100,3.74,20.19,20.4,6.84,Residential,3
Corona,Queens,300,3.74,21.03,20.67,6.57,Residential,3
Maspeth,Queens,529,3.81,19.74,21.53,6.89,Residential,3
Bronxdale,Bronx,169,3.86,21.82,20.29,6.63,Residential,3
East New York,Brooklyn,594,3.9,22.28,20.31,18.91,Residential,3
Soundview/Castle Hill,Bronx,335,3.93,19.95,21.05,7.06,Residential,3
Eastchester,Bronx,171,3.94,20.45,21.61,7.27,Residential,3
Glendale,Queens,380,3.98,21.66,20.07,6.28,Residential,3
Richmond Hill,Queens,431,3.98,21.92,20.89,6.52,Residential,3
Van Cortlandt Village,Bronx,380,4.04,21.53,21.09,6.87,Residential,3
Sunset Park East,Brooklyn,387,4.07,20.39,22.04,6.69,Residential,3
Pelham Parkway,Bronx,335,4.08,21.37,21.2,6.66,Residential,3
Middle Village,Queens,453,4.11,21.16,21.68,16.99,Residential,3
Auburndale,Queens,206,4.15,22.26,20.63,6.23,Residential,3
Kensington,Brooklyn,394,4.2,21.38,21.52,8.87,Residential,3
Crown Heights South,Brooklyn,498,4.23,19.31,24.18,6.97,Residential,3
Bushwick North,Brooklyn,1504,4.3,20.86,22.55,6.61,Residential,3
Gowanus,Brooklyn,538,4.37,20.42,23.29,6.35,Residential,3
Fresh Meadows,Queens,160,4.42,18.02,25.41,6.73,Residential,3
Manhattanville,Manhattan,296,4.46,19.85,23.65,6.38,Residential,3
Schuylerville/Edgewater Park,Bronx,381,4.54,23.43,22.71,8.42,Residential,3
Alphabet City,Manhattan,582,4.57,20.05,24.09,12.08,Residential,3
Old Astoria,Queens,682,4.58,21.34,23.6,7.81,Residential,3
Hamilton Heights,Manhattan,680,4.63,21.17,23.71,6.27,Residential,3
Far Rockaway,Queens,187,4.65,20.03,28.54,8.04,Residential,3
Bloomfield/Emerson Hill,Staten Island,274,4.69,21.66,23.5,6.23,Residential,3
Clinton Hill,Brooklyn,1279,4.69,19.98,25.13,6.85,Residential,3
Rossville/Woodrow,Staten Island,80,4.87,23.27,25.35,5.71,Residential,3
Two Bridges/Seward Park,Manhattan,802,4.92,19.16,27.25,12.19,Residential,3
Park Slope,Brooklyn,2609,4.98,20.65,26.43,6.39,Residential,3
Bay Terrace/Fort Totten,Queens,190,5.05,23.07,24.97,24.23,Residential,3
Manhattan Valley,Manhattan,706,5.08,20.47,26.75,10.27,Residential,3
Howard Beach,Queens,229,5.09,19.67,27.42,11.05,Residential,3
Washington Heights North,Manhattan,814,5.16,20.11,27.13,6.46,Residential,3
Charleston/Tottenville,Staten Island,97,5.44,22.87,26.71,14.73,Residential,3
Rockaway Park,Queens,137,5.58,26.97,26.18,5.28,Residential,3
Brooklyn Heights,Brooklyn,1234,5.65,19.76,31.05,6.41,Residential,3
West Village,Manhattan,2039,5.72,20.89,29.27,6.65,Residential,3
Yorkville West,Manhattan,1222,5.73,20.83,29.31,6.15,Residential,3
Yorkville East,Manhattan,877,5.75,21.61,28.8,5.81,Residential,3
Sutton Place/Turtle Bay North,Manhattan,1543,5.91,21.24,30.4,5.94,Residential,3
Greenwich Village South,Manhattan,1427,5.96,19.84,32.09,6.19,Residential,3
Meatpacking/West Village West,Manhattan,1400,6.03,20.14,31.97,6.89,Residential,3
Central Park,Manhattan,483,6.26,20.96,31.53,5.85,Residential,3
SoHo,Manhattan,1283,6.28,19.99,33.37,6.25,Residential,3
Lincoln Square East,Manhattan,2025,6.57,21.57,32.78,6.18,Residential,3
Seaport,Manhattan,622,6.76,19.55,36.44,11.82,Residential,3
Midtown South,Manhattan,2772,6.85,20.32,36.28,6.98,Residential,3
Eltingville/Annadale/Prince's Bay,Staten Island,104,6.91,23.05,29.11,5.82,Residential,3
Green-Wood Cemetery,Brooklyn,8,6.93,28.34,22.56,4.66,Residential,3
Battery Park City,Manhattan,1049,7.24,20.17,37.93,6.13,Residential,3
Midtown North,Manhattan,2602,7.31,20.56,38.08,5.93,Residential,3
Garment District,Manhattan,1685,7.31,20.48,38.45,6.26,Residential,3
Financial District South,Manhattan,688,7.41,19.9,38.81,6.07,Business,3
Midtown Center,Manhattan,3726,7.77,20.63,40.4,6.29,Residential,3
JFK Airport,Queens,5282,13.69,17.66,78.77,8.16,Airport,3
Westchester Village/Unionport,Bronx,153,3.63,20.7,20.12,11.49,Residential,9
Hollis,Queens,73,3.68,19.18,21.11,6.94,Residential,9
Madison,Brooklyn,360,3.71,19.74,20.41,10.34,Residential,9
East New York,Brooklyn,487,3.75,20.7,20.3,22.28,Residential,9
Elmhurst/Maspeth,Queens,333,3.77,19.54,21.78,7.57,Residential,9
Soundview/Bruckner,Bronx,176,3.89,21.11,20.88,7.01,Residential,9
Bronxdale,Bronx,160,3.95,20.84,20.43,11.94,Residential,9
Glendale,Queens,365,3.98,22.16,19.89,6.07,Residential,9
Middle Village,Queens,411,4.01,19.99,21.63,7.53,Residential,9
Corona,Queens,325,4.02,19.08,23.35,7.58,Residential,9
Maspeth,Queens,507,4.05,19.63,22.57,6.76,Residential,9
Richmond Hill,Queens,438,4.06,20.81,23.24,19.07,Residential,9
Soundview/Castle Hill,Bronx,292,4.09,20.39,21.89,6.6,Residential,9
Eastchester,Bronx,170,4.13,19.83,22.75,7.02,Residential,9
Pelham Bay Park,Bronx,29,4.14,24.61,20.04,5.55,Residential,9
Green-Wood Cemetery,Brooklyn,13,4.17,19.3,22.19,8.63,Residential,9
Old Astoria,Queens,635,4.21,20.02,23.07,6.67,Residential,9
Van Cortlandt Village,Bronx,302,4.22,20.92,22.49,10.86,Residential,9
Sunset Park East,Brooklyn,403,4.22,20.16,23.05,6.51,Residential,9
Fresh Meadows,Queens,156,4.27,19.42,24.21,17.01,Residential,9
Crown Heights South,Brooklyn,446,4.4,19.46,24.78,6.93,Residential,9
Pelham Parkway,Bronx,329,4.41,19.83,24.7,7.15,Residential,9
Bushwick North,Brooklyn,1389,4.42,20.09,23.65,8.87,Residential,9
Grymes Hill/Clifton,Staten Island,113,4.42,19.86,24.31,7.28,Residential,9
Far Rockaway,Queens,145,4.47,22.92,25.73,7.48,Residential,9
Gowanus,Brooklyn,545,4.63,20.22,24.45,6.4,Residential,9
Manhattanville,Manhattan,349,4.65,20.04,24.89,6.29,Residential,9
Clinton Hill,Brooklyn,1205,4.65,18.77,26.15,11.49,Residential,9
Charleston/Tottenville,Staten Island,105,4.77,25.12,23.24,5.61,Residential,9
Kensington,Brooklyn,353,4.77,20.16,24.97,6.64,Residential,9
Alphabet City,Manhattan,533,4.81,19.12,26.33,6.43,Residential,9
Auburndale,Queens,182,4.89,21.02,25.34,15.2,Residential,9
Park Slope,Brooklyn,2472,4.95,20.89,26.29,8.67,Residential,9
Howard Beach,Queens,220,4.95,21.01,26.59,17.71,Residential,9
Schuylerville/Edgewater Park,Bronx,378,4.98,22.3,25.88,6.38,Residential,9
Hamilton Heights,Manhattan,660,5.03,20.64,25.97,16.02,Residential,9
Bay Terrace/Fort Totten,Queens,209,5.16,22.82,27.13,5.82,Residential,9
Washington Heights North,Manhattan,792,5.16,20.33,27.17,6.36,Residential,9
Bloomfield/Emerson Hill,Staten Island,260,5.34,22.89,26.18,7.17,Residential,9
Rockaway Park,Queens,180,5.4,21.81,29.25,6.26,Residential,9
Manhattan Valley,Manhattan,707,5.45,20.92,28.59,6.07,Residential,9
Eltingville/Annadale/Prince's Bay,Staten Island,121,5.48,21.79,29.05,6.23,Residential,9
Two Bridges/Seward Park,Manhattan,854,5.5,19.78,29.38,6.27,Residential,9
Rossville/Woodrow,Staten Island,70,5.55,22.32,27.47,5.95,Residential,9
Brooklyn Heights,Brooklyn,1309,5.81,19.15,32.17,8.05,Residential,9
Yorkville West,Manhattan,1195,5.93,20.85,30.57,5.99,Residential,9
West Village,Manhattan,1816,5.97,19.61,31.78,8.57,Residential,9
Sutton Place/Turtle Bay North,Manhattan,1442,6.17,19.93,32.83,6.31,Residential,9
Greenwich Village South,Manhattan,1372,6.2,19.29,33.35,8.05,Residential,9
Yorkville East,Manhattan,848,6.29,21.08,31.7,5.92,Residential,9
SoHo,Manhattan,1329,6.38,18.73,36.0,6.81,Residential,9
Meatpacking/West Village West,Manhattan,1456,6.49,19.24,35.07,9.94,Residential,9
Central Park,Manhattan,517,6.56,18.62,37.07,10.34,Residential,9
Lincoln Square East,Manhattan,1948,7.06,20.2,36.97,6.08,Residential,9
Seaport,Manhattan,575,7.1,19.58,37.98,7.47,Residential,9
Midtown South,Manhattan,2789,7.37,19.71,38.81,6.52,Residential,9
Garment District,Manhattan,1566,7.46,19.9,39.77,6.18,Residential,9
Battery Park City,Manhattan,1141,7.84,19.16,42.64,8.14,Residential,9
Financial District South,Manhattan,679,7.96,18.95,44.43,6.31,Business,9
Midtown North,Manhattan,2325,8.29,19.35,44.87,8.8,Residential,9
Midtown Center,Manhattan,3416,8.35,19.53,44.81,12.47,Residential,9
JFK Airport,Queens,5236,13.5,17.53,78.39,9.64,Airport,9
Elmhurst/Maspeth,Queens,314,3.53,20.8,18.97,6.68,Residential,8
Soundview/Bruckner,Bronx,154,3.65,19.37,20.72,7.11,Residential,8
Maspeth,Queens,424,3.7,19.27,21.13,6.74,Residential,8
Bronxdale,Bronx,153,3.73,20.03,20.96,7.09,Residential,8
Richmond Hill,Queens,429,3.77,19.98,20.98,7.59,Residential,8
Madison,Brooklyn,328,3.82,19.85,21.98,7.24,Residential,8
Glendale,Queens,366,3.83,21.54,19.26,6.31,Residential,8
Hollis,Queens,81,3.85,19.09,23.42,8.07,Residential,8
Van Cortlandt Village,Bronx,342,3.86,19.24,21.82,10.63,Residential,8
Soundview/Castle Hill,Bronx,352,3.89,21.06,20.81,7.09,Residential,8
Westchester Village/Unionport,Bronx,208,3.92,20.4,21.32,6.56,Residential,8
East New York,Brooklyn,570,4.02,20.43,22.02,13.31,Residential,8
Corona,Queens,335,4.04,19.92,22.38,12.38,Residential,8
Sunset Park East,Brooklyn,399,4.18,20.75,21.77,6.66,Residential,8
Crown Heights South,Brooklyn,493,4.19,20.05,23.23,6.9,Residential,8
Fresh Meadows,Queens,157,4.27,18.7,24.32,7.5,Residential,8
Middle Village,Queens,413,4.27,21.84,21.3,8.57,Residential,8
Pelham Parkway,Bronx,332,4.29,19.68,23.88,6.95,Residential,8
Eastchester,Bronx,195,4.31,23.21,22.21,6.99,Residential,8
Old Astoria,Queens,681,4.34,20.38,23.02,6.69,Residential,8
Pelham Bay Park,Bronx,38,4.42,20.11,30.16,7.14,Residential,8
Clinton Hill,Brooklyn,1285,4.45,19.28,24.83,12.46,Residential,8
Bushwick North,Brooklyn,1426,4.48,20.68,23.65,7.7,Residential,8
Gowanus,Brooklyn,487,4.48,20.87,23.37,6.48,Residential,8
Rossville/Woodrow,Staten Island,70,4.49,22.33,21.72,5.79,Residential,8
Howard Beach,Queens,219,4.57,20.83,24.79,6.36,Residential,8
Grymes Hill/Clifton,Staten Island,104,4.58,21.42,24.66,6.84,Residential,8
Schuylerville/Edgewater Park,Bronx,380,4.62,21.17,24.49,6.31,Residential,8
Alphabet City,Manhattan,533,4.64,19.01,25.97,8.58,Residential,8
Kensington,Brooklyn,335,4.66,20.79,24.43,6.52,Residential,8
Far Rockaway,Queens,159,4.73,23.35,27.33,44.96,Residential,8
Auburndale,Queens,177,4.77,20.34,25.42,17.19,Residential,8
Hamilton Heights,Manhattan,701,4.8,21.72,24.33,6.24,Residential,8
Park Slope,Brooklyn,2317,4.82,20.66,25.64,6.31,Residential,8
Manhattanville,Manhattan,305,4.85,20.28,26.05,6.58,Residential,8
Green-Wood Cemetery,Brooklyn,7,4.91,15.8,25.81,8.6,Residential,8
Two Bridges/Seward Park,Manhattan,841,5.0,19.5,27.38,6.77,Residential,8
Bloomfield/Emerson Hill,Staten Island,268,5.07,20.74,27.29,7.72,Residential,8
Bay Terrace/Fort Totten,Queens,193,5.16,22.02,27.39,6.34,Residential,8
Manhattan Valley,Manhattan,737,5.23,21.45,27.06,6.15,Residential,8
Washington Heights North,Manhattan,807,5.41,21.49,27.77,6.12,Residential,8
West Village,Manhattan,1742,5.56,20.35,29.17,8.88,Residential,8
Charleston/Tottenville,Staten Island,95,5.59,22.05,29.46,6.23,Residential,8
Yorkville West,Manhattan,1202,5.65,20.53,30.16,6.33,Residential,8
Rockaway Park,Queens,243,5.7,24.48,30.0,5.79,Residential,8
Yorkville East,Manhattan,824,5.81,20.85,29.94,5.98,Residential,8
Eltingville/Annadale/Prince's Bay,Staten Island,120,5.84,23.68,28.57,5.37,Residential,8
Brooklyn Heights,Brooklyn,1162,5.85,19.7,32.02,6.4,Residential,8
