zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Stuyvesant Heights,341,830.0,16.54,41.76,6
Van Cortlandt Park,6,13.75,16.55,43.23,6
Highbridge,48,117.5,17.28,38.56,6
Hunts Point,29,68.75,17.71,40.08,6
Homecrest,50,123.75,17.83,54.27,6
University Heights/Morris Heights,48,116.25,18.18,46.9,6
Bronx Park,10,22.5,18.31,53.37,6
Claremont/Bathgate,22,52.5,18.67,42.07,6
Mott Haven/Port Morris,124,306.25,19.13,39.15,6
Broad Channel,5,11.25,19.39,40.32,6
Windsor Terrace,61,148.75,19.55,57.86,6
Morrisania/Melrose,48,118.75,19.58,43.15,6
Melrose South,52,123.75,20.75,39.39,6
Williamsburg (North Side),655,1627.5,21.55,45.3,6
Longwood,17,41.25,22.3,38.52,6
Kingsbridge Heights,22,52.5,22.96,51.89,6
City Island,10,25.0,23.95,51.68,6
Mariners Harbor,16,40.0,24.72,47.64,6
Central Harlem,311,758.75,25.22,43.6,6
Arrochar/Fort Wadsworth,16,40.0,25.31,58.38,6
Boerum Hill,388,965.0,25.38,52.25,6
Stuy Town/Peter Cooper Village,185,458.75,26.2,50.7,6
Spuyten Duyvil/Kingsbridge,56,136.25,27.92,59.06,6
Chinatown,104,257.5,28.0,52.51,6
Lenox Hill West,451,1111.25,29.22,48.62,6
Little Italy/NoLiTa,382,948.75,33.14,54.07,6
Gramercy,580,1432.5,33.35,50.1,6
Financial District North,595,1481.25,33.46,55.48,6
Clinton East,889,2210.0,34.02,55.73,6
Greenwich Village North,359,897.5,34.71,54.37,6
Inwood Hill Park,3,7.5,34.72,64.24,6
Arden Heights,8,20.0,36.28,67.35,6
New Dorp/Midland Beach,18,45.0,36.57,53.67,6
Upper East Side North,436,1077.5,36.82,53.88,6
Penn Station/Madison Sq West,536,1336.25,36.98,52.26,6
Westerleigh,19,47.5,37.52,48.81,6
Upper West Side South,467,1158.75,37.71,56.7,6
East Chelsea,978,2432.5,39.27,56.86,6
Union Sq,625,1557.5,40.51,56.91,6
Springfield Gardens North,305,661.25,6.29,12.28,5
South Ozone Park,1250,2938.75,6.41,11.11,5
East Elmhurst,284,650.0,7.34,13.83,5
Springfield Gardens South,228,518.75,7.43,14.26,5
Elmhurst,257,622.5,7.9,23.88,5
Baisley Park,433,1007.5,8.28,15.05,5
Jackson Heights,427,1038.75,8.34,20.17,5
Ozone Park,97,233.75,8.69,19.21,5
Brownsville,104,245.0,8.97,32.5,5
Briarwood/Jamaica Hills,136,326.25,9.53,22.55,5
East Flushing,34,82.5,9.69,29.2,5
Erasmus,89,210.0,10.89,43.89,5
Breezy Point/Fort Tilden/Riis Beach,5,12.5,11.84,50.37,5
Flatlands,120,287.5,12.0,42.03,5
Forest Hills,390,958.75,12.08,26.57,5
Rego Park,81,197.5,12.1,27.22,5
Murray Hill-Queens,73,177.5,12.15,28.37,5
Cambria Heights,70,160.0,12.19,26.39,5
Queens Village,129,298.75,12.23,27.91,5
Bensonhurst East,40,93.75,12.87,53.63,5
Bath Beach,24,57.5,13.3,53.97,5
Stuyvesant Heights,356,855.0,14.05,41.47,5
East Williamsburg,401,988.75,14.76,41.18,5
Queensbridge/Ravenswood,71,173.75,14.89,36.69,5
Prospect-Lefferts Gardens,291,705.0,15.16,47.42,5
Broad Channel,3,7.5,16.12,46.24,5
Melrose South,61,145.0,16.76,40.27,5
Homecrest,55,135.0,16.98,51.83,5
Morrisania/Melrose,36,88.75,17.62,41.5,5
Mott Haven/Port Morris,119,288.75,19.16,40.12,5
Longwood,23,56.25,19.56,35.78,5
University Heights/Morris Heights,43,100.0,20.07,44.37,5
Claremont/Bathgate,30,73.75,20.31,43.61,5
Windsor Terrace,71,176.25,20.33,63.73,5
Highbridge,54,130.0,20.87,36.84,5
Prospect Park,11,27.5,20.95,50.38,5
Williamsburg (North Side),732,1823.75,20.97,46.33,5
City Island,10,25.0,21.82,50.58,5
Kingsbridge Heights,19,46.25,22.55,49.08,5
Hunts Point,38,93.75,22.89,46.77,5
Bronx Park,6,15.0,23.37,42.79,5
Stuy Town/Peter Cooper Village,239,585.0,24.25,53.09,5
Boerum Hill,409,1012.5,24.38,52.63,5
Central Harlem,308,756.25,25.63,44.39,5
Inwood Hill Park,4,10.0,26.76,58.38,5
Spuyten Duyvil/Kingsbridge,70,172.5,27.34,59.64,5
New Dorp/Midland Beach,7,17.5,27.38,67.85,5
Highbridge Park,7,17.5,27.63,54.04,5
Chinatown,102,251.25,29.21,55.53,5
Westerleigh,23,57.5,29.53,49.07,5
Arrochar/Fort Wadsworth,14,35.0,30.71,51.37,5
Lenox Hill West,521,1297.5,31.55,51.76,5
Gramercy,612,1523.75,32.4,51.9,5
Mariners Harbor,24,60.0,32.64,39.71,5
Financial District North,683,1695.0,33.76,56.94,5
Little Italy/NoLiTa,391,970.0,34.51,56.56,5
Arden Heights,16,40.0,34.77,64.05,5
Upper East Side North,469,1163.75,35.15,51.5,5
Clinton East,920,2280.0,36.25,57.66,5
Greenwich Village North,383,953.75,36.8,57.37,5
Upper West Side South,514,1265.0,37.46,59.26,5
Penn Station/Madison Sq West,558,1391.25,38.88,56.56,5
Union Sq,662,1651.25,40.07,57.56,5
East Chelsea,965,2403.75,41.3,59.72,5
South Ozone Park,1265,2905.0,4.28,10.72,2
East Elmhurst,272,588.75,5.05,12.9,2
Springfield Gardens North,303,680.0,5.39,11.58,2
Baisley Park,397,895.0,6.16,14.16,2
Springfield Gardens South,202,460.0,6.65,14.0,2
Brownsville,118,277.5,7.46,30.67,2
Jackson Heights,392,940.0,7.59,20.41,2
Elmhurst,208,506.25,7.89,22.72,2
Ozone Park,96,233.75,8.41,18.66,2
Queensbridge/Ravenswood,33,80.0,8.48,32.13,2
Queens Village,120,287.5,8.85,26.08,2
Broad Channel,4,10.0,8.89,33.78,2
Briarwood/Jamaica Hills,114,277.5,9.01,21.46,2
