zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Glendale,62,152.5,9.59,30.89,12
Maspeth,66,162.5,9.95,34.24,12
Elmhurst/Maspeth,75,185.0,10.08,28.81,12
Old Astoria,229,560.0,10.33,29.47,12
Hollis,60,142.5,12.1,27.48,12
Fresh Meadows,33,81.25,12.25,30.36,12
Far Rockaway,83,196.25,12.4,37.29,12
Auburndale,38,92.5,14.46,32.41,12
Bay Terrace/Fort Totten,52,126.25,14.62,33.15,12
Middle Village,90,218.75,14.72,33.72,12
Soundview/Bruckner,23,57.5,14.88,39.54,12
Westchester Village/Unionport,27,66.25,15.39,42.96,12
Van Cortlandt Village,56,136.25,15.94,51.65,12
Bushwick North,391,956.25,16.42,40.36,12
Crown Heights South,189,451.25,17.02,47.04,12
Kensington,52,128.75,17.43,58.8,12
Bronxdale,33,76.25,17.7,52.3,12
Pelham Parkway,64,153.75,18.32,44.45,12
Soundview/Castle Hill,53,131.25,19.43,41.47,12
Madison,40,98.75,19.67,52.38,12
Manhattanville,72,171.25,19.93,48.65,12
Sunset Park East,49,120.0,20.2,60.99,12
Eastchester,43,105.0,20.23,43.81,12
Pelham Bay Park,1,2.5,21.43,21.7,12
Schuylerville/Edgewater Park,69,167.5,21.52,40.02,12
JFK Airport,16868,40226.25,21.98,59.34,12
Clinton Hill,397,980.0,22.23,49.13,12
Alphabet City,174,423.75,22.65,51.83,12
Rockaway Park,34,85.0,23.0,45.16,12
Hamilton Heights,210,517.5,23.07,45.81,12
Washington Heights North,232,567.5,23.93,51.06,12
Two Bridges/Seward Park,198,482.5,24.19,53.18,12
Grymes Hill/Clifton,26,63.75,25.39,55.64,12
Park Slope,474,1180.0,28.38,57.5,12
Yorkville East,291,720.0,30.18,47.13,12
Yorkville West,492,1208.75,30.19,47.46,12
Brooklyn Heights,335,831.25,30.57,56.26,12
Manhattan Valley,261,642.5,30.67,57.13,12
Gowanus,80,200.0,32.33,56.9,12
Sutton Place/Turtle Bay North,463,1151.25,32.85,51.57,12
Eltingville/Annadale/Prince's Bay,21,52.5,34.57,74.41,12
Bloomfield/Emerson Hill,50,125.0,35.28,49.66,12
Seaport,233,581.25,36.43,59.54,12
Greenwich Village South,266,660.0,38.28,56.88,12
Charleston/Tottenville,16,40.0,38.47,64.61,12
West Village,508,1265.0,39.97,57.36,12
Midtown South,1188,2958.75,40.82,55.92,12
Financial District South,180,450.0,40.9,64.35,12
Lincoln Square East,570,1415.0,41.11,61.28,12
Central Park,105,262.5,41.26,60.82,12
Rossville/Woodrow,12,30.0,41.99,54.46,12
Garment District,613,1522.5,43.63,61.03,12
Battery Park City,322,802.5,43.9,64.59,12
Meatpacking/West Village West,298,743.75,43.91,62.7,12
Midtown North,861,2148.75,44.03,64.24,12
SoHo,294,733.75,45.24,62.44,12
Midtown Center,962,2398.75,45.79,62.56,12
Rosedale,127,290.0,9.19,21.34,7
Jamaica,340,826.25,9.65,21.7,7
Randalls Island,3,7.5,9.7,62.24,7
Flushing,365,891.25,9.92,21.99,7
Forest Park/Highland Park,8,18.75,10.09,23.52,7
Kew Gardens,270,643.75,10.15,21.7,7
Woodhaven,145,348.75,10.58,24.56,7
Cypress Hills,118,291.25,10.77,24.55,7
Steinway,287,701.25,10.81,24.57,7
Starrett City,42,103.75,11.23,25.0,7
Bellerose,57,141.25,11.32,29.18,7
Hillcrest/Pomonok,83,205.0,11.57,25.46,7
Canarsie,226,535.0,11.99,29.96,7
Hammels/Arverne,64,153.75,12.0,38.49,7
East Flatbush/Farragut,116,273.75,12.54,40.65,7
Oakland Gardens,46,113.75,13.49,31.81,7
Glen Oaks,49,120.0,13.85,33.64,7
Jamaica Estates,91,221.25,14.18,29.78,7
Douglaston,49,120.0,14.24,36.64,7
Long Island City/Queens Plaza,245,608.75,14.33,31.54,7
Brighton Beach,33,82.5,15.0,47.57,7
Gravesend,34,83.75,15.41,48.09,7
Midwood,69,170.0,15.77,52.19,7
Whitestone,73,180.0,15.95,32.34,7
Bayside,100,246.25,16.21,35.4,7
Fordham South,28,68.75,17.18,42.7,7
Sheepshead Bay,49,117.5,17.46,44.55,7
Mount Hope,56,136.25,17.49,42.8,7
Williamsbridge/Olinville,64,151.25,17.81,48.22,7
Bedford Park,57,142.5,17.99,49.41,7
Greenpoint,541,1335.0,18.25,39.48,7
Parkchester,55,131.25,18.73,40.23,7
West Farms/Bronx River,31,76.25,18.87,40.93,7
Fort Greene,235,577.5,18.88,43.44,7
Bay Ridge,138,342.5,18.89,56.53,7
Co-Op City,79,191.25,19.07,45.91,7
East Concourse/Concourse Village,78,193.75,19.24,43.35,7
Battery Park,3,7.5,19.62,50.21,7
Prospect Heights,250,612.5,19.69,47.27,7
Marble Hill,14,35.0,20.44,56.81,7
Central Harlem North,321,790.0,21.37,39.17,7
Downtown Brooklyn/MetroTech,371,916.25,21.57,44.63,7
Inwood,64,158.75,22.99,45.89,7
Borough Park,53,128.75,23.03,56.24,7
Belmont,50,123.75,23.09,44.58,7
East Harlem South,271,655.0,24.39,41.76,7
Kips Bay,302,740.0,26.2,41.17,7
Stapleton,23,56.25,26.57,54.39,7
Oakwood,8,18.75,27.44,72.14,7
Cobble Hill,81,201.25,27.54,52.36,7
Lenox Hill East,280,686.25,28.44,44.5,7
DUMBO/Vinegar Hill,174,430.0,29.0,48.51,7
Carroll Gardens,124,307.5,30.02,56.3,7
Columbia Street,17,42.5,30.19,61.71,7
Saint George/New Brighton,23,57.5,32.43,57.42,7
South Beach/Dongan Hills,17,42.5,33.99,56.43,7
Brooklyn Navy Yard,13,32.5,34.21,52.85,7
Clinton West,313,773.75,34.93,54.1,7
Heartland Village/Todt Hill,27,65.0,35.54,61.86,7
Times Sq/Theatre District,1645,4096.25,39.05,54.19,7
Hudson Sq,300,748.75,39.07,54.72,7
Great Kills,20,50.0,41.76,61.92,7
West Chelsea/Hudson Yards,468,1161.25,42.96,58.74,7
Randalls Island,5,12.5,7.3,56.17,5
Kew Gardens,211,516.25,9.08,22.89,5
Cypress Hills,105,252.5,9.21,25.02,5
Jamaica,317,752.5,9.38,21.5,5
Starrett City,33,78.75,9.82,27.28,5
Woodhaven,132,312.5,9.97,24.12,5
Steinway,300,735.0,10.07,26.12,5
Astoria Park,1,2.5,10.31,17.03,5
Forest Park/Highland Park,5,12.5,10.52,31.93,5
Rosedale,119,281.25,10.84,24.23,5
Hillcrest/Pomonok,76,182.5,11.2,25.08,5
Hammels/Arverne,58,138.75,11.48,41.25,5
Canarsie,219,523.75,11.63,31.98,5
Flushing,391,956.25,11.66,25.55,5
Gravesend,30,72.5,11.67,52.39,5
Midwood,70,170.0,12.07,52.1,5
Jamaica Estates,69,165.0,12.39,29.4,5
East Flatbush/Farragut,100,240.0,12.53,42.99,5
Oakland Gardens,31,73.75,12.54,34.43,5
Brighton Beach,39,92.5,13.11,48.58,5
Glen Oaks,46,115.0,13.5,38.31,5
Bellerose,62,151.25,13.62,30.14,5
Bayside,86,210.0,14.58,37.5,5
Douglaston,46,112.5,14.66,33.85,5
Long Island City/Queens Plaza,213,520.0,14.77,37.1,5
Whitestone,69,171.25,14.83,34.61,5
Sheepshead Bay,47,117.5,15.07,45.62,5
Co-Op City,58,138.75,16.61,44.22,5
West Farms/Bronx River,20,48.75,16.71,38.12,5
Williamsbridge/Olinville,61,147.5,16.94,48.35,5
Greenpoint,525,1295.0,17.14,42.77,5
East Concourse/Concourse Village,58,140.0,17.81,39.77,5
Mount Hope,55,135.0,18.2,42.54,5
Bedford Park,45,107.5,18.38,52.06,5
Borough Park,60,148.75,18.44,61.42,5
Bay Ridge,129,321.25,19.28,60.76,5
Prospect Heights,240,593.75,19.54,49.51,5
Parkchester,44,110.0,20.44,42.22,5
Fort Greene,263,648.75,22.04,49.04,5
Fordham South,20,50.0,22.07,53.47,5
Downtown Brooklyn/MetroTech,424,1051.25,22.62,49.92,5
Belmont,64,153.75,22.63,48.77,5
Inwood,73,178.75,22.92,54.37,5
Central Harlem North,284,693.75,23.28,38.06,5
East Harlem South,234,572.5,24.01,42.64,5
Kips Bay,355,872.5,24.45,46.98,5
Columbia Street,33,82.5,24.71,54.76,5
Carroll Gardens,155,387.5,24.73,57.98,5
Lenox Hill East,324,797.5,26.81,46.35,5
Cobble Hill,99,243.75,27.33,52.77,5
Marble Hill,5,12.5,29.07,53.25,5
Stapleton,18,45.0,29.16,54.62,5
DUMBO/Vinegar Hill,204,510.0,29.56,54.53,5
Brooklyn Navy Yard,16,40.0,31.19,53.35,5
South Beach/Dongan Hills,15,37.5,32.97,65.33,5
Heartland Village/Todt Hill,28,70.0,33.32,52.61,5
Saint George/New Brighton,22,55.0,33.83,58.0,5
Clinton West,375,927.5,35.75,58.63,5
Great Kills,22,55.0,39.74,63.46,5
Oakwood,15,37.5,40.88,61.17,5
Hudson Sq,308,768.75,41.13,59.44,5
Times Sq/Theatre District,1693,4220.0,41.51,59.09,5
Battery Park,5,12.5,43.4,65.51,5
West Chelsea/Hudson Yards,541,1337.5,45.28,63.78,5
Rosedale,116,270.0,7.44,21.32,11
Starrett City,28,61.25,8.33,23.1,11
Forest Park/Highland Park,3,7.5,8.4,29.26,11
Woodhaven,115,273.75,8.86,23.65,11
Jamaica,280,681.25,9.35,22.04,11
Kew Gardens,232,567.5,9.74,23.51,11
Cypress Hills,97,237.5,9.96,25.79,11
Gravesend,21,50.0,10.3,42.39,11
Canarsie,174,421.25,10.32,31.27,11
Flushing,288,700.0,10.95,23.3,11
Hammels/Arverne,55,127.5,10.95,40.91,11
Hillcrest/Pomonok,91,217.5,11.0,27.2,11
Steinway,292,717.5,11.07,25.45,11
Oakland Gardens,50,121.25,11.94,33.77,11
Randalls Island,3,7.5,12.14,72.54,11
Brighton Beach,35,85.0,12.43,48.82,11
Bellerose,39,93.75,13.2,32.08,11
East Flatbush/Farragut,96,227.5,13.87,42.76,11
Glen Oaks,40,97.5,14.55,36.24,11
Whitestone,66,161.25,14.62,32.47,11
Bayside,77,188.75,15.15,34.91,11
Jamaica Estates,56,138.75,15.21,33.08,11
Douglaston,50,121.25,16.09,36.76,11
Long Island City/Queens Plaza,221,538.75,16.77,37.02,11
Sheepshead Bay,61,151.25,17.2,49.71,11
Mount Hope,41,101.25,17.27,46.33,11
Parkchester,43,106.25,17.29,39.07,11
Fordham South,25,56.25,17.34,47.37,11
East Concourse/Concourse Village,67,158.75,17.88,41.18,11
Williamsbridge/Olinville,47,112.5,18.23,47.47,11
Bedford Park,49,121.25,19.15,47.87,11
Midwood,83,201.25,19.52,55.12,11
Greenpoint,566,1400.0,19.76,39.99,11
Marble Hill,11,27.5,20.12,55.1,11
Co-Op City,46,111.25,20.54,41.34,11
Belmont,76,188.75,22.18,48.18,11
West Farms/Bronx River,24,58.75,22.36,41.62,11
Borough Park,56,136.25,22.71,60.75,11
Central Harlem North,269,657.5,23.41,38.38,11
Prospect Heights,229,565.0,23.62,48.94,11
Bay Ridge,127,312.5,23.66,56.78,11
Inwood,66,161.25,23.86,53.6,11
Fort Greene,254,626.25,24.58,47.49,11
South Beach/Dongan Hills,19,46.25,24.82,61.67,11
Columbia Street,24,60.0,24.91,54.39,11
East Harlem South,212,521.25,25.05,39.3,11
Downtown Brooklyn/MetroTech,298,732.5,25.83,47.34,11
Stapleton,15,36.25,26.68,57.61,11
Carroll Gardens,140,348.75,29.53,55.42,11
Lenox Hill East,283,698.75,30.31,46.82,11
Kips Bay,297,736.25,30.72,44.26,11
Cobble Hill,83,207.5,31.83,56.42,11
Saint George/New Brighton,27,63.75,31.85,54.69,11
Battery Park,3,7.5,32.12,61.83,11
DUMBO/Vinegar Hill,173,432.5,32.58,55.87,11
Oakwood,8,20.0,34.18,64.38,11
Brooklyn Navy Yard,10,23.75,36.84,55.37,11
Great Kills,30,75.0,37.08,60.5,11
Clinton West,295,735.0,38.19,56.89,11
Heartland Village/Todt Hill,42,105.0,39.64,54.55,11
Times Sq/Theatre District,1789,4463.75,43.26,58.73,11
Hudson Sq,334,833.75,43.35,57.94,11
West Chelsea/Hudson Yards,578,1438.75,47.52,63.54,11
Randalls Island,4,10.0,0.5,55.47,6
Cypress Hills,90,210.0,7.48,23.97,6
Starrett City,40,92.5,8.04,26.05,6
Jamaica,326,778.75,8.73,21.73,6
Gravesend,18,42.5,8.94,54.6,6
Rosedale,108,246.25,9.29,21.16,6
Flushing,360,882.5,9.56,22.95,6
Kew Gardens,237,573.75,9.67,22.25,6
Canarsie,175,413.75,10.05,30.89,6
Woodhaven,109,258.75,10.14,25.07,6
Steinway,306,746.25,10.43,26.41,6
Oakland Gardens,57,136.25,12.4,33.56,6
Hillcrest/Pomonok,58,142.5,13.06,31.26,6
Jamaica Estates,69,170.0,13.33,29.47,6
Long Island City/Queens Plaza,253,623.75,13.41,33.21,6
Brighton Beach,28,67.5,13.48,53.47,6
Whitestone,70,170.0,14.12,32.32,6
Bellerose,61,146.25,14.54,31.65,6
Glen Oaks,40,98.75,15.13,37.51,6
Sheepshead Bay,80,197.5,15.15,45.61,6
Bayside,96,233.75,15.43,35.32,6
Hammels/Arverne,62,148.75,15.66,42.82,6
Mount Hope,33,77.5,15.97,43.31,6
East Flatbush/Farragut,93,223.75,16.09,44.18,6
Parkchester,35,87.5,16.1,40.39,6
Marble Hill,9,22.5,16.21,53.09,6
Douglaston,44,108.75,16.44,39.77,6
East Concourse/Concourse Village,70,165.0,17.01,40.49,6
Williamsbridge/Olinville,72,172.5,17.52,49.71,6
Forest Park/Highland Park,1,2.5,17.93,21.98,6
Co-Op City,54,135.0,18.24,38.99,6
Fordham South,27,62.5,18.38,50.32,6
Bedford Park,48,117.5,18.41,47.55,6
Greenpoint,574,1421.25,18.63,42.79,6
Belmont,31,75.0,18.7,49.22,6
Borough Park,61,151.25,18.85,58.58,6
West Farms/Bronx River,45,112.5,18.86,41.12,6
Midwood,82,201.25,18.9,55.68,6
Fort Greene,265,650.0,20.94,46.73,6
Inwood,65,156.25,21.13,52.26,6
Prospect Heights,264,651.25,21.91,49.02,6
Downtown Brooklyn/MetroTech,409,1013.75,22.18,47.44,6
Columbia Street,26,65.0,23.3,53.29,6
East Harlem South,236,570.0,23.31,41.59,6
Bay Ridge,136,335.0,23.38,57.74,6
Central Harlem North,270,667.5,23.96,42.67,6
Kips Bay,311,760.0,24.97,43.11,6
Saint George/New Brighton,28,70.0,25.39,59.93,6
South Beach/Dongan Hills,12,28.75,25.46,60.31,6
Carroll Gardens,139,346.25,25.97,56.91,6
DUMBO/Vinegar Hill,196,488.75,28.31,54.6,6
Cobble Hill,81,202.5,28.88,56.31,6
Lenox Hill East,308,756.25,29.08,50.88,6
Brooklyn Navy Yard,17,42.5,29.45,50.39,6
Heartland Village/Todt Hill,35,87.5,29.62,62.47,6
Stapleton,17,42.5,29.75,60.57,6
Battery Park,4,7.5,29.76,57.6,6
Great Kills,18,45.0,29.97,71.8,6
Oakwood,10,25.0,31.08,67.03,6
Clinton West,328,813.75,36.24,58.19,6
Times Sq/Theatre District,1706,4256.25,40.76,58.17,6
Hudson Sq,361,900.0,40.93,58.51,6
West Chelsea/Hudson Yards,565,1410.0,46.78,64.31,6
East New York,295,685.0,9.08,23.23,10
Corona,118,283.75,9.31,20.33,10
Hollis,55,133.75,9.53,28.89,10
Richmond Hill,184,442.5,9.97,21.78,10
Elmhurst/Maspeth,83,200.0,10.37,24.63,10
Old Astoria,197,478.75,10.55,27.23,10
Howard Beach,123,297.5,10.95,20.0,10
Far Rockaway,104,242.5,13.96,35.91,10
Fresh Meadows,36,87.5,14.43,30.32,10
Maspeth,68,165.0,14.85,30.99,10
Glendale,64,156.25,14.87,31.42,10
Bay Terrace/Fort Totten,49,120.0,14.87,34.01,10
Middle Village,72,176.25,14.89,30.23,10
Auburndale,50,123.75,15.24,30.8,10
Sunset Park East,41,98.75,15.8,61.7,10
Bushwick North,294,706.25,15.89,37.76,10
Pelham Bay Park,3,7.5,16.12,28.8,10
Crown Heights South,182,443.75,18.04,45.05,10
Van Cortlandt Village,50,125.0,18.7,54.28,10
Pelham Parkway,58,138.75,18.8,42.17,10
Soundview/Castle Hill,63,155.0,19.5,45.18,10
Bronxdale,21,50.0,19.53,53.94,10
Rockaway Park,46,111.25,20.15,47.56,10
Soundview/Bruckner,21,51.25,20.15,42.23,10
Kensington,51,125.0,20.58,61.01,10
Alphabet City,148,362.5,22.01,48.41,10
Madison,48,120.0,22.4,53.59,10
Westchester Village/Unionport,14,33.75,22.82,43.86,10
JFK Airport,18793,45107.5,22.93,57.02,10
Clinton Hill,335,828.75,22.98,45.75,10
Eastchester,38,90.0,23.41,43.42,10
Schuylerville/Edgewater Park,78,193.75,23.94,41.71,10
Two Bridges/Seward Park,220,543.75,24.04,49.06,10
Hamilton Heights,174,427.5,24.33,45.64,10
Gowanus,74,185.0,24.46,58.35,10
Washington Heights North,181,446.25,24.57,47.08,10
Park Slope,464,1148.75,26.64,53.55,10
Manhattanville,65,160.0,27.08,51.84,10
Yorkville West,463,1135.0,28.21,43.32,10
Yorkville East,280,693.75,29.41,45.86,10
Grymes Hill/Clifton,11,27.5,29.71,48.92,10
Brooklyn Heights,312,775.0,30.66,54.79,10
Sutton Place/Turtle Bay North,448,1113.75,31.35,48.67,10
Manhattan Valley,205,503.75,32.11,52.63,10
Greenwich Village South,234,580.0,33.68,53.1,10
Seaport,213,530.0,35.0,56.72,10
Bloomfield/Emerson Hill,55,137.5,35.67,48.17,10
West Village,420,1045.0,39.08,52.69,10
Financial District South,181,452.5,39.16,58.71,10
Eltingville/Annadale/Prince's Bay,13,31.25,39.35,55.35,10
Central Park,90,225.0,40.76,62.62,10
Midtown South,1287,3206.25,41.16,53.56,10
SoHo,320,797.5,41.86,55.48,10
Garment District,683,1703.75,41.89,55.91,10
Lincoln Square East,537,1336.25,42.22,61.87,10
Midtown Center,1216,3038.75,44.74,58.99,10
Midtown North,959,2396.25,44.96,63.12,10
Battery Park City,405,1011.25,45.27,63.97,10
Charleston/Tottenville,15,37.5,46.08,58.57,10
Meatpacking/West Village West,309,770.0,47.35,63.97,10
Rossville/Woodrow,11,27.5,48.09,47.29,10
Hollis,41,95.0,9.22,28.16,9
Corona,111,262.5,9.87,24.26,9
East New York,259,610.0,10.2,23.47,9
Elmhurst/Maspeth,108,261.25,10.29,23.09,9
Old Astoria,210,513.75,10.74,28.7,9
Howard Beach,85,206.25,11.05,21.16,9
Richmond Hill,171,421.25,11.46,20.91,9
Maspeth,82,201.25,11.93,29.55,9
Far Rockaway,83,195.0,13.02,33.45,9
Middle Village,82,202.5,14.6,31.72,9
Auburndale,58,142.5,14.73,31.72,9
Bay Terrace/Fort Totten,58,141.25,15.36,35.63,9
Fresh Meadows,39,97.5,15.55,31.13,9
Bushwick North,271,658.75,15.63,36.83,9
Madison,44,103.75,15.82,49.75,9
Crown Heights South,160,391.25,16.69,45.2,9
Soundview/Bruckner,30,70.0,16.71,33.85,9
Soundview/Castle Hill,52,127.5,16.75,40.4,9
Glendale,64,155.0,16.75,33.1,9
Sunset Park East,49,121.25,18.9,60.31,9
Van Cortlandt Village,46,115.0,19.55,55.14,9
Schuylerville/Edgewater Park,81,201.25,20.21,39.14,9
Pelham Bay Park,3,7.5,20.44,36.74,9
Clinton Hill,351,868.75,20.51,46.31,9
Pelham Parkway,48,116.25,20.59,43.25,9
Westchester Village/Unionport,28,68.75,20.94,36.87,9
Bronxdale,34,82.5,20.98,43.22,9
Eastchester,35,86.25,21.79,41.55,9
Kensington,49,122.5,22.47,61.23,9
Alphabet City,171,417.5,22.81,51.18,9
JFK Airport,19180,46317.5,22.84,58.89,9
Rockaway Park,30,72.5,23.25,44.49,9
Hamilton Heights,144,348.75,23.89,43.27,9
Two Bridges/Seward Park,231,568.75,24.12,49.91,9
Park Slope,470,1165.0,24.83,54.84,9
Washington Heights North,178,436.25,25.24,46.5,9
Gowanus,53,132.5,26.05,57.44,9
Yorkville West,457,1128.75,27.05,45.68,9
Manhattanville,73,180.0,27.44,49.37,9
Brooklyn Heights,335,832.5,28.42,54.5,9
Yorkville East,307,757.5,28.83,45.29,9
Manhattan Valley,215,523.75,29.46,54.03,9
Sutton Place/Turtle Bay North,417,1033.75,31.14,48.22,9
Greenwich Village South,211,526.25,35.51,55.81,9
West Village,414,1028.75,35.93,55.21,9
Seaport,192,478.75,37.31,58.87,9
Financial District South,181,450.0,37.69,62.2,9
Bloomfield/Emerson Hill,40,100.0,39.65,44.41,9
Lincoln Square East,528,1313.75,40.13,60.71,9
Garment District,671,1670.0,40.16,54.43,9
Midtown South,1281,3181.25,40.24,54.6,9
SoHo,311,776.25,40.61,59.33,9
Grymes Hill/Clifton,14,35.0,41.09,50.16,9
Rossville/Woodrow,10,25.0,42.54,54.63,9
Midtown North,917,2281.25,42.72,61.27,9
Midtown Center,1098,2737.5,43.0,59.7,9
Battery Park City,364,907.5,43.43,62.35,9
Meatpacking/West Village West,283,707.5,43.57,63.05,9
Central Park,104,260.0,44.13,57.99,9
Eltingville/Annadale/Prince's Bay,16,40.0,45.63,56.33,9
Charleston/Tottenville,13,32.5,50.63,53.98,9
Randalls Island,1,2.5,1.23,50.48,4
Jamaica,308,733.75,8.55,21.15,4
Kew Gardens,258,623.75,9.56,21.46,4
Canarsie,173,410.0,9.72,31.25,4
Flushing,320,781.25,9.76,21.79,4
Woodhaven,127,305.0,9.76,24.55,4
Rosedale,99,240.0,9.8,20.41,4
Starrett City,38,90.0,10.72,25.03,4
Cypress Hills,87,203.75,10.85,23.76,4
Steinway,255,616.25,11.11,26.67,4
East Flatbush/Farragut,85,202.5,11.12,40.9,4
Gravesend,26,65.0,11.87,47.9,4
Hammels/Arverne,64,151.25,12.38,36.98,4
Bellerose,54,130.0,12.45,29.58,4
Hillcrest/Pomonok,70,170.0,12.57,26.23,4
Glen Oaks,50,122.5,12.75,35.73,4
Jamaica Estates,81,196.25,13.16,28.69,4
Whitestone,65,156.25,13.33,27.26,4
Brighton Beach,33,81.25,13.63,46.15,4
Oakland Gardens,47,115.0,13.71,31.9,4
Long Island City/Queens Plaza,201,497.5,14.33,37.0,4
Forest Park/Highland Park,2,5.0,14.33,28.03,4
Bayside,78,191.25,14.9,36.35,4
Fordham South,15,36.25,15.48,47.33,4
Sheepshead Bay,73,175.0,15.54,45.16,4
Douglaston,43,107.5,16.24,38.11,4
Greenpoint,499,1231.25,18.38,40.94,4
Bedford Park,47,113.75,18.54,49.42,4
East Concourse/Concourse Village,68,162.5,18.62,45.05,4
Mount Hope,46,108.75,18.96,44.28,4
Parkchester,46,111.25,19.27,38.8,4
Williamsbridge/Olinville,68,162.5,19.42,51.59,4
Co-Op City,58,141.25,20.58,44.49,4
West Farms/Bronx River,34,81.25,21.28,41.88,4
Bay Ridge,142,355.0,21.63,59.36,4
Midwood,75,185.0,21.76,53.65,4
Prospect Heights,239,593.75,21.81,49.74,4
Downtown Brooklyn/MetroTech,356,886.25,22.18,46.72,4
Central Harlem North,252,621.25,22.52,38.53,4
Fort Greene,249,612.5,22.65,46.31,4
Inwood,47,116.25,22.86,50.96,4
Borough Park,45,110.0,22.96,58.26,4
Brooklyn Navy Yard,13,31.25,24.28,48.47,4
East Harlem South,233,577.5,25.39,41.43,4
Kips Bay,309,765.0,26.02,44.71,4
Belmont,36,90.0,26.1,50.42,4
Carroll Gardens,138,343.75,28.08,57.91,4
Lenox Hill East,332,820.0,28.63,47.57,4
Cobble Hill,95,236.25,28.91,54.77,4
Marble Hill,8,18.75,29.73,51.15,4
Columbia Street,28,67.5,29.9,57.54,4
DUMBO/Vinegar Hill,173,430.0,30.07,53.35,4
Saint George/New Brighton,25,62.5,30.42,55.1,4
Battery Park,3,7.5,33.18,44.03,4
South Beach/Dongan Hills,17,42.5,34.44,59.81,4
Stapleton,26,65.0,34.9,55.1,4
Clinton West,348,863.75,36.48,53.83,4
Hudson Sq,302,755.0,39.62,55.63,4
Times Sq/Theatre District,1530,3808.75,41.2,57.21,4
Great Kills,23,57.5,41.23,63.94,4
Heartland Village/Todt Hill,26,63.75,42.42,51.41,4
Oakwood,7,17.5,42.65,53.0,4
West Chelsea/Hudson Yards,503,1252.5,46.19,59.97,4
Rosedale,107,256.25,6.9,21.54,2
Starrett City,27,61.25,6.93,24.96,2
Hammels/Arverne,65,151.25,7.18,37.51,2
Cypress Hills,89,215.0,7.69,23.01,2
Jamaica,262,640.0,8.1,21.15,2
Flushing,299,731.25,9.24,21.18,2
Canarsie,149,355.0,9.39,29.75,2
Steinway,241,586.25,9.46,23.95,2
Kew Gardens,227,542.5,9.56,21.11,2
Randalls Island,1,2.5,10.32,73.46,2
Woodhaven,95,230.0,10.35,24.53,2
Hillcrest/Pomonok,89,217.5,10.37,25.8,2
Forest Park/Highland Park,5,11.25,10.49,25.12,2
Sheepshead Bay,41,98.75,10.91,47.04,2
East Flatbush/Farragut,81,191.25,11.69,40.09,2
Whitestone,79,195.0,11.88,28.69,2
Jamaica Estates,60,145.0,12.28,29.4,2
Oakland Gardens,49,116.25,12.56,32.79,2
Bayside,75,182.5,12.86,34.87,2
Bellerose,46,110.0,12.95,31.65,2
Long Island City/Queens Plaza,180,445.0,13.12,35.71,2
Gravesend,25,62.5,13.68,51.9,2
Glen Oaks,42,103.75,13.81,36.65,2
Fordham South,12,30.0,14.53,44.25,2
Douglaston,48,120.0,15.07,36.95,2
Midwood,112,272.5,16.1,50.3,2
Greenpoint,465,1138.75,16.33,41.21,2
Fort Greene,224,548.75,16.78,45.38,2
West Farms/Bronx River,28,66.25,17.35,42.12,2
Mount Hope,39,93.75,17.35,50.71,2
Williamsbridge/Olinville,58,141.25,17.4,49.31,2
Parkchester,29,72.5,17.42,40.84,2
Co-Op City,46,112.5,17.5,44.31,2
Downtown Brooklyn/MetroTech,295,727.5,18.58,45.8,2
Bedford Park,44,106.25,18.94,44.13,2
Brighton Beach,32,77.5,19.17,55.47,2
Stapleton,20,48.75,19.36,57.23,2
East Concourse/Concourse Village,56,133.75,19.64,43.1,2
Inwood,45,111.25,19.91,51.82,2
Central Harlem North,215,523.75,20.48,38.82,2
Marble Hill,9,22.5,20.63,52.05,2
Borough Park,74,182.5,20.72,59.28,2
Prospect Heights,218,543.75,20.74,50.01,2
East Harlem South,209,508.75,22.87,41.74,2
Bay Ridge,110,271.25,23.58,57.34,2
Belmont,47,117.5,23.59,46.56,2
Columbia Street,16,38.75,24.1,52.24,2
Kips Bay,289,710.0,24.56,42.95,2
Lenox Hill East,287,705.0,25.37,45.74,2
Cobble Hill,80,200.0,26.04,56.85,2
Carroll Gardens,133,330.0,26.55,58.95,2
Saint George/New Brighton,22,55.0,27.46,59.36,2
Oakwood,14,35.0,27.96,60.24,2
DUMBO/Vinegar Hill,180,448.75,28.24,53.23,2
Brooklyn Navy Yard,15,37.5,28.76,50.31,2
South Beach/Dongan Hills,17,42.5,31.1,52.72,2
Clinton West,282,702.5,31.27,52.89,2
Battery Park,2,5.0,31.74,67.59,2
Times Sq/Theatre District,1582,3940.0,36.97,52.56,2
Great Kills,15,37.5,37.5,65.31,2
Hudson Sq,305,757.5,39.33,57.98,2
West Chelsea/Hudson Yards,524,1306.25,39.7,58.23,2
Heartland Village/Todt Hill,24,60.0,43.16,43.48,2
Corona,95,231.25,8.75,22.68,3
East New York,250,566.25,9.48,21.77,3
Richmond Hill,192,465.0,9.61,20.65,3
Elmhurst/Maspeth,72,175.0,9.7,22.6,3
Howard Beach,128,305.0,9.93,20.0,3
Hollis,45,102.5,10.54,27.36,3
Old Astoria,201,491.25,10.77,29.0,3
Maspeth,60,147.5,11.14,30.51,3
Bay Terrace/Fort Totten,30,75.0,11.72,33.0,3
Glendale,50,122.5,12.69,30.9,3
Far Rockaway,71,173.75,12.87,34.08,3
Middle Village,87,217.5,13.19,31.14,3
